hole-ES-EI-1-18-JS !mm 12-18 position
"[0.3]",0.4,0.6,1,1.5,2,3,5,7,12.5,20,30,0.05,0.07,0.125,0.2,0.3,NULL,NULL
"(3,6]",0.5,0.75,1.25,2,2.5,4,6,9,15,24,37.5,0.06,0.09,0.15,0.24,0.375,0.6,0.9
"(6,10]",0.5,0.75,1.25,2,3,4.5,7.5,11,18,29,45,0.075,0.11,0.18,0.29,0.45,0.75,1.1
"(10,18]",0.6,1,1.5,2.5,4,5.5,9,13.5,21.5,35,55,0.09,0.135,0.215,0.35,0.55,0.9,1.35
"(18,30]",0.75,1.25,2,3,4.5,6.5,10.5,16.5,26,42,65,0.105,0.165,0.26,0.42,0.65,1.05,1.65
"(30,50]",0.75,1.25,2,3.5,5.5,8,12.5,19.5,31,50,80,0.125,0.195,0.31,0.5,0.8,1.25,1.95
"(50,80]",1,1.5,2.5,4,6.5,9.5,15,23,37,60,95,0.15,0.23,0.37,0.6,0.95,1.5,2.3
"(80,120]",1.25,2,3,5,7.5,11,17.5,27,43.5,70,110,0.175,0.27,0.435,0.7,1.1,1.75,2.7
"(120,180]",1.75,2.5,4,6,9,12.5,20,31.5,50,80,125,0.2,0.315,0.5,0.8,1.25,2,3.15
"(180,250]",2.25,3.5,5,7,10,14.5,23,36,57.5,92.5,145,0.23,0.36,0.575,0.925,1.45,2.3,3.6
"(250,315]",3,4,6,8,11.5,16,26,40.5,65,105,160,0.26,0.405,0.65,1.05,1.6,2.6,4.05
"(315,400]",3.5,4.5,6.5,9,12.5,18,28.5,44.5,70,115,180,0.285,0.445,0.7,1.15,1.8,2.85,4.45
"(400,500]",4,5,7.5,10,13.5,20,31.5,48.5,77.5,125,200,0.315,0.485,0.775,1.25,2,3.15,4.85, 
"(500,630]",4.5,5.5,8,11,16,22,35,56,87.5,140,220,0.35,0.55,0.875,1.4,2.2,3.5,5.5
"(630,800]",5,6.5,9,12.5,18,25,40,62.5,100,160,250,0.4,0.625,1,1.6,2.5,4,6.25
"(800,1000]",5.5,7.5,10.5,14,20,28,45,70,115,180,280,0.45,0.7,1.15,1.8,2.8,4.5,7
"(1000,1250]",6.5,9,12,16.5,23.5,33,52.5,82.5,130,210,330,0.525,0.825,1.3,2.1,3.3,5.25,8.25
"(1250,1600]",7.5,10.5,14.5,19.5,27.5,39,62.5,97.5,155,250,390,0.625,0.975,1.55,2.5,3.9,6.25,9.75
"(1600,2000]",9,12.5,17.5,23,32.5,46,75,115,185,300,460,0.75,1.15,1.85,3,4.6,7.5,11.5
"(2000,2500]",11,15,20.5,27.5,39,55,87.5,140,220,350,550,0.875,1.4,2.2,3.5,5.5,8.75,14
"(2500,3150]",13,18,25,34,48,67.5,105,165,270,430,675,1.05,1.65,2.7,4.3,6.75,10.5,16.5,
