"[0,3]",0.0003,0.0005,0.0008,0.0012,0.002,0.003,0.004,0.006,0.010,0.014,0.025,0.040,0.060,0.10,0.14,0.25,0.40,0.60,1.00,1.40
"(3,6]",0.4,0.6,1,1.5,2.5,4,5,8,12,18,30,48,75,0.12,0.18,0.30,0.48,0.75,1.20,1.80
"(6,10]",0.4,0.6,1,1.5,2.5,4,6,9,15,22,36,58,90,0.15,0.22,0.36,0.58,0.90,1.50,2.20
"(10,18]",0.5,0.8,1.2,2,3,5,8,11,18,27,43,70,110,0.18,0.27,0.43,0.70,1.10,1.80,2.70
"(18,30]",0.6,1,1.5,2.5,4,6,9,13,21,33,52,84,130,0.21,0.33,0.52,0.84,1.30,2.10,3.30
"(30,50]",0.6,1,1.5,2.5,4,7,11,16,25,39,62,100,160,0.25,0.39,0.62,1.00,1.60,2.50,3.90
"(50,80]",0.8,1.2,2,3,5,8,13,19,30,46,74,120,190,0.30,0.46,0.74,1.20,1.90,3.00,4.60
"(80,120]",1,1.5,2.5,4,6,10,15,22,35,54,87,140,220,0.35,0.54,0.87,1.40,2.20,3.50,5.40
"(120,180]",1.2,2,3.5,5,8,12,18,25,40,63,100,160,250,0.40,0.63,1.00,1.60,2.50,4.00,6.30
"(180,250]",2,3,4.5,7,10,14,20,29,46,72,115,185,290,0.46,0.72,1.15,1.85,2.90,4.60,7.20
"(250,315]",2.5,4,6,8,12,16,23,32,52,81,130,210,320,0.52,0.81,1.30,2.10,3.20,5.20,8.10
"(315,400]",3,5,7,9,13,18,25,36,57,89,140,230,360,0.57,0.89,1.40,2.30,3.60,5.70,8.90
"(400,500]",4,6,8,10,15,20,27,40,63,97,155,250,400,0.63,0.97,1.55,2.50,4.00,6.30,9.70
"(500,630]",NULL,NULL,9,11,16,22,30,44,70,110,175,280,440,0.70,1.10,1.75,2.80,4.40,7.00,11.00
"(630,800]",NULL,NULL,10,13,18,25,35,50,80,125,200,320,500,0.80,1.25,2.00,3.20,5.00,8.00,12.50
"(800,1000]",NULL,NULL,11,15,21,29,40,56,90,140,230,360,560,0.90,1.40,2.30,3.60,5.60,9.00,14.00
"(1000,1250]",NULL,NULL,13,18,24,34,46,66,105,165,260,420,660,1.05,1.65,2.60,4.20,6.60,10.50,16.50
"(1250,1600]",NULL,NULL,15,21,29,40,54,78,125,195,310,500,780,1.25,1.95,3.10,5.00,7.80,12.50,19.50
"(1600,2000]",NULL,NULL,18,25,35,48,65,92,150,230,370,600,920,1.50,2.30,3.70,6.00,9.20,15.00,23.00
"(2000,2500]",NULL,NULL,22,30,41,57,77,110,175,280,440,700,1100,1.75,2.80,4.40,7.00,11.00,17.50,28.00
"(2500,3150]",NULL,NULL,26,36,50,69,93,135,210,330,540,860,1350,2.10,3.30,5.40,8.60,13.50,21.00,33.00
