"(5.6,11.2]",0.25,32,40,50,63,80,NULL,NULL,NULL
"(5.6,11.2]",0.35,36,45,56,71,90,NULL,NULL,NULL
"(5.6,11.2]",0.5,42,53,67,85,106,132,NULL,NULL
"(5.6,11.2]",0.75,50,63,80,100,125,160,NULL,NULL
"(5.6,11.2]",1,56,71,90,112,140,180,224,280
"(5.6,11.2]",1.25,60,75,95,118,150,190,236,300
"(5.6,11.2]",1.5,67,85,106,132,170,212,265,335
"(11.2,22.4]",0.35,38,48,60,75,95,NULL,NULL,NULL
"(11.2,22.4]",0.5,45,56,71,90,112,140,NULL,NULL
"(11.2,22.4]",0.75,53,67,85,106,132,170,NULL,NULL
"(11.2,22.4]",1,60,75,95,118,150,190,236,300
"(11.2,22.4]",1.25,67,85,106,132,170,212,265,335
"(11.2,22.4]",1.5,71,90,112,140,180,224,280,355
"(11.2,22.4]",1.75,75,95,118,150,190,236,300,375
"(11.2,22.4]",2,80,100,125,160,200,250,315,400
"(11.2,22.4]",2.5,85,106,132,170,212,265,335,425
"(22.4,45]",0.5,48,60,75,95,118,NULL,NULL,NULL
"(22.4,45]",0.75,56,71,90,112,140,180,NULL,NULL
"(22.4,45]",1,63,80,100,125,160,200,250,315
"(22.4,45]",1.5,75,95,118,150,190,236,300,375
"(22.4,45]",2,85,106,132,170,212,265,335,425
"(22.4,45]",3,100,125,160,200,250,315,400,500
"(22.4,45]",3.5,106,132,170,212,265,335,425,530
"(22.4,45]",4,112,140,180,224,280,355,450,560
"(22.4,45]",4.5,118,150,190,236,300,375,475,600
"(45,90]",0.5,50,63,80,100,125,NULL,NULL,NULL
"(45,90]",0.75,60,75,95,118,150,NULL,NULL,NULL
"(45,90]",1,71,90,112,140,180,224,280,355
"(45,90]",1.5,80,100,125,160,200,250,315,400
"(45,90]",2,90,112,140,180,224,280,355,450
"(45,90]",3,106,132,170,212,265,335,425,530
"(45,90]",4,118,150,190,236,300,375,475,600
"(45,90]",5,125,160,200,250,315,400,500,630
"(45,90]",5.5,132,170,212,265,335,425,530,670
"(45,90]",6,140,180,224,280,355,450,560,710
"(90,180]",0.75,63,80,100,125,160,NULL,NULL,NULL
"(90,180]",1,75,95,118,150,190,NULL,NULL,NULL
"(90,180]",1.5,85,106,132,170,212,265,335,425
"(90,180]",2,95,118,150,190,236,300,375,475
"(90,180]",3,112,140,180,224,280,355,450,560
"(90,180]",4,125,160,200,250,315,400,500,630
"(90,180]",6,150,190,236,300,375,475,600,750
"(90,180]",8,170,212,265,335,425,530,670,850
